gene_id,symbol,aliases,category,mechanism,target_tissues,rejuvenation_potential,identity_preservation,oncogenic_risk,dedifferentiation_risk,delivery_feasibility,tissue_specificity,evidence_strength,druggability,reprogramming_relevance,notes,evidence_query
g011,UTF1,,pluripotency_marker,Pluripotency associated chromatin regulator,stem_cell;iPSC_model,0.45,0.40,0.42,0.62,0.36,0.28,0.30,0.18,0.45,Marker more than driver,UTF1 reprogramming aging
g012,PRDM14,,epigenetic_reprogramming,Epigenetic resetting in germline and pluripotency,stem_cell;germline,0.58,0.38,0.62,0.72,0.38,0.30,0.42,0.18,0.60,High identity drift risk,PRDM14 epigenetic reprogramming aging safety
g013,GLIS1,,reprogramming_factor,Reprogramming enhancer reported to reduce some transformation signals,fibroblast;iPSC_model,0.58,0.55,0.38,0.44,0.44,0.36,0.42,0.20,0.62,Interesting OSK adjunct,GLIS1 reprogramming aging safety
g014,TET1,,dna_demethylation,DNA demethylation and epigenetic age control,stem_cell;fibroblast;neuron,0.62,0.62,0.44,0.44,0.42,0.48,0.54,0.30,0.72,Epigenetic editor candidate,TET1 aging DNA methylation reprogramming
g015,TET2,,dna_demethylation,DNA demethylation and hematopoietic regulation,immune;hematopoietic;fibroblast,0.58,0.72,0.42,0.34,0.42,0.50,0.46,0.36,0.66,Context critical due clonal hematopoiesis,TET2 aging DNA methylation safety
g016,TET3,,dna_demethylation,DNA demethylation and neuronal epigenetic regulation,neuron;brain;stem_cell,0.52,0.64,0.38,0.38,0.38,0.44,0.38,0.28,0.54,Tissue specific evidence needed,TET3 aging epigenetic reprogramming
g017,DNMT1,,dna_methylation,Maintenance DNA methylation and epigenetic memory,proliferative_cells;stem_cell,0.42,0.58,0.52,0.50,0.36,0.38,0.54,0.46,0.48,More safety target than rejuvenation driver,DNMT1 aging methylation safety
g018,DNMT3A,,dna_methylation,De novo methyltransferase and hematopoietic clonal risk,hematopoietic;immune,0.38,0.56,0.64,0.46,0.32,0.42,0.54,0.38,0.44,Important risk gene,DNMT3A aging clonal hematopoiesis safety
g019,DNMT3B,,dna_methylation,De novo methyltransferase and developmental methylation,stem_cell;fibroblast,0.44,0.50,0.58,0.56,0.32,0.34,0.42,0.34,0.46,Identity drift caution,DNMT3B aging methylation reprogramming
g020,HDAC1,,chromatin_regulator,Histone deacetylase and chromatin compaction,proliferative_cells;fibroblast,0.42,0.58,0.48,0.42,0.52,0.36,0.54,0.72,0.42,Drug target but broad effects,HDAC1 aging chromatin safety
g021,HDAC2,,chromatin_regulator,Histone deacetylase and neuronal chromatin regulation,neuron;brain;fibroblast,0.42,0.58,0.46,0.40,0.52,0.36,0.50,0.70,0.40,Broad inhibitor risk,HDAC2 aging chromatin neuron
g022,HDAC3,,chromatin_regulator,Histone deacetylase and metabolic chromatin control,liver;metabolic_tissue;fibroblast,0.42,0.58,0.46,0.40,0.52,0.36,0.48,0.70,0.40,Broad inhibitor risk,HDAC3 aging chromatin metabolism
g023,SIRT1,,sirtuin,Stress response metabolism and chromatin deacetylation,metabolic_tissue;brain;immune,0.58,0.76,0.28,0.20,0.62,0.48,0.62,0.60,0.58,Support axis candidate,SIRT1 aging rejuvenation chromatin safety
g024,SIRT2,,sirtuin,Cytosolic and nuclear deacetylase linked to stress response,brain;metabolic_tissue,0.42,0.66,0.26,0.18,0.56,0.38,0.42,0.58,0.38,Context mixed,SIRT2 aging safety
g025,SIRT3,,sirtuin,Mitochondrial deacetylase and stress resilience,mitochondria;muscle;metabolic_tissue,0.56,0.78,0.20,0.14,0.62,0.46,0.54,0.54,0.52,Good safety support axis,SIRT3 aging mitochondria rejuvenation
g026,SIRT4,,sirtuin,Mitochondrial metabolic regulator,mitochondria;metabolic_tissue,0.42,0.70,0.18,0.14,0.54,0.36,0.34,0.42,0.34,Needs evidence,SIRT4 aging mitochondria
g027,SIRT5,,sirtuin,Mitochondrial desuccinylase and metabolic stress regulator,mitochondria;metabolic_tissue,0.44,0.70,0.18,0.14,0.54,0.36,0.34,0.42,0.34,Needs evidence,SIRT5 aging mitochondria
g028,SIRT6,,sirtuin,DNA repair chromatin and metabolic stress regulator,fibroblast;immune;liver;brain,0.66,0.82,0.22,0.18,0.64,0.55,0.56,0.58,0.70,Strong low risk support axis,SIRT6 aging DNA repair reprogramming
g029,SIRT7,,sirtuin,Nucleolar deacetylase linked to ribosome and stress regulation,stem_cell;liver;immune,0.46,0.68,0.28,0.22,0.48,0.34,0.36,0.40,0.40,Needs tissue evidence,SIRT7 aging chromatin
g030,KDM1A,LSD1,histone_demethylase,H3K4 and H3K9 demethylase involved in fate control,stem_cell;neuron;fibroblast,0.46,0.52,0.56,0.54,0.48,0.34,0.46,0.58,0.48,Fate control risk,KDM1A LSD1 aging reprogramming
g031,KDM2B,,histone_demethylase,Polycomb linked chromatin and reprogramming support,stem_cell;fibroblast,0.48,0.52,0.50,0.54,0.38,0.32,0.34,0.34,0.46,Mechanism candidate,KDM2B reprogramming aging chromatin
g032,KDM4A,,histone_demethylase,H3K9 demethylase linked to chromatin barriers,stem_cell;fibroblast,0.50,0.48,0.54,0.56,0.40,0.32,0.36,0.42,0.48,Barrier removal risk,KDM4A reprogramming aging chromatin
g033,KDM5B,,histone_demethylase,H3K4 demethylase linked to stem state and aging,stem_cell;fibroblast,0.46,0.50,0.52,0.50,0.40,0.32,0.36,0.42,0.44,Needs safety mapping,KDM5B aging reprogramming
g034,KDM6A,UTX,histone_demethylase,H3K27 demethylase and epigenetic state control,stem_cell;immune;fibroblast,0.48,0.58,0.42,0.42,0.38,0.34,0.36,0.34,0.44,Context dependent,KDM6A UTX aging chromatin
g035,KDM6B,JMJD3,histone_demethylase,H3K27 demethylase linked to inflammation and fate,immune;fibroblast;brain,0.44,0.58,0.42,0.40,0.38,0.34,0.36,0.34,0.40,Inflammation context,KDM6B aging chromatin
g036,EZH2,,polycomb,PRC2 catalytic subunit and H3K27 methylation,stem_cell;proliferative_cells,0.52,0.46,0.66,0.62,0.44,0.34,0.58,0.54,0.52,Cancer and identity risk,EZH2 aging PRC2 reprogramming safety
g037,SUZ12,,polycomb,PRC2 scaffold and developmental gene repression,stem_cell;fibroblast,0.44,0.50,0.54,0.58,0.34,0.30,0.42,0.24,0.42,Mechanism marker,SUZ12 aging PRC2 reprogramming
g038,EED,,polycomb,PRC2 component and chromatin memory,stem_cell;fibroblast,0.44,0.50,0.54,0.58,0.34,0.30,0.42,0.24,0.42,Mechanism marker,EED aging PRC2 reprogramming
g039,SETD2,,histone_methyltransferase,H3K36 methylation and genome maintenance,stem_cell;fibroblast,0.40,0.62,0.34,0.30,0.32,0.30,0.32,0.24,0.34,Genome maintenance candidate,SETD2 aging chromatin DNA repair
g040,EP300,P300,chromatin_writer,Acetyltransferase and enhancer regulator,fibroblast;immune;stem_cell,0.44,0.54,0.50,0.48,0.44,0.34,0.46,0.50,0.44,Broad enhancer effects,EP300 aging chromatin reprogramming
g041,CREBBP,CBP,chromatin_writer,Acetyltransferase and transcriptional coactivator,fibroblast;immune;brain,0.44,0.54,0.48,0.46,0.44,0.34,0.44,0.50,0.42,Broad enhancer effects,CREBBP aging chromatin
g042,BRD4,,chromatin_reader,BET reader and transcriptional pause release,immune;fibroblast;proliferative_cells,0.40,0.58,0.44,0.34,0.58,0.36,0.48,0.70,0.38,Drug target with inflammatory effects,BRD4 aging inflammation chromatin
g043,ARID1A,,chromatin_remodeler,SWI SNF chromatin remodeling subunit,stem_cell;fibroblast,0.38,0.60,0.48,0.40,0.28,0.30,0.32,0.18,0.34,Tumor suppressor context,ARID1A aging chromatin
g044,SMARCA4,BRG1,chromatin_remodeler,SWI SNF ATPase and chromatin accessibility,stem_cell;fibroblast,0.46,0.54,0.52,0.54,0.32,0.30,0.38,0.22,0.48,Fate control risk,SMARCA4 BRG1 reprogramming aging
g045,HMGA2,,developmental_chromatin,Developmental chromatin architectural factor,stem_cell;regeneration,0.48,0.40,0.66,0.58,0.36,0.28,0.34,0.18,0.44,Growth and cancer caution,HMGA2 aging regeneration cancer
g046,TP53,P53,tumor_suppression,Genome surveillance and senescence control,all_tissues;stem_cell,0.34,0.82,0.20,0.18,0.34,0.34,0.80,0.32,0.50,Safety gate more than rejuvenation driver,TP53 reprogramming aging safety
g047,ATM,,dna_damage_response,DNA double strand break response,all_tissues;fibroblast,0.42,0.78,0.22,0.18,0.34,0.32,0.58,0.30,0.42,DNA repair support axis,ATM aging DNA repair
g048,ATR,,dna_damage_response,Replication stress and DNA damage response,proliferative_cells;stem_cell,0.38,0.72,0.28,0.22,0.34,0.30,0.52,0.36,0.38,Safety and proliferation context,ATR aging DNA repair
g049,PARP1,,dna_repair,Single strand break repair and chromatin stress response,all_tissues;fibroblast,0.42,0.70,0.28,0.20,0.56,0.34,0.58,0.72,0.40,Drug target with context risk,PARP1 aging DNA repair
g050,BRCA1,,dna_repair,Homologous recombination and genome stability,proliferative_cells;stem_cell,0.36,0.76,0.26,0.20,0.26,0.26,0.56,0.20,0.34,Genome stability support,BRCA1 aging DNA repair
g051,BRCA2,,dna_repair,Homologous recombination and genome stability,proliferative_cells;stem_cell,0.36,0.76,0.26,0.20,0.26,0.26,0.56,0.20,0.34,Genome stability support,BRCA2 aging DNA repair
g052,WRN,,dna_repair,Helicase linked to premature aging syndrome,all_tissues;fibroblast,0.54,0.74,0.24,0.18,0.30,0.34,0.62,0.22,0.52,Aging genetics anchor,WRN aging DNA repair rejuvenation
g053,LMNA,,nuclear_lamina,Nuclear lamina and progeria linked chromatin structure,fibroblast;muscle;all_tissues,0.52,0.70,0.26,0.20,0.28,0.36,0.66,0.18,0.50,Progeria and nuclear aging anchor,LMNA aging rejuvenation reprogramming
g054,ERCC1,,dna_repair,Nucleotide excision repair and progeroid phenotypes,all_tissues;fibroblast,0.46,0.72,0.22,0.18,0.28,0.30,0.50,0.18,0.42,DNA repair support,ERCC1 aging DNA repair
g055,XPA,,dna_repair,Nucleotide excision repair factor,skin;fibroblast,0.38,0.72,0.20,0.16,0.26,0.30,0.42,0.18,0.34,DNA repair support,XPA aging DNA repair skin
g056,TERT,,telomere,Telomerase catalytic subunit and replicative capacity,stem_cell;immune;fibroblast,0.66,0.58,0.72,0.42,0.42,0.38,0.70,0.24,0.62,Must bind anti cancer controls,TERT aging telomere reprogramming cancer risk
g057,TERC,,telomere,Telomerase RNA component and telomere maintenance,stem_cell;immune;fibroblast,0.58,0.62,0.58,0.34,0.34,0.34,0.54,0.18,0.52,Telomere support with cancer caution,TERC aging telomere safety
g058,POT1,,telomere,Shelterin telomere protection factor,stem_cell;immune,0.42,0.70,0.34,0.22,0.26,0.28,0.38,0.18,0.34,Telomere stability candidate,POT1 aging telomere safety
g059,MTOR,,nutrient_sensing,Nutrient sensing kinase and aging pathway hub,all_tissues;immune;muscle,0.54,0.70,0.34,0.20,0.70,0.38,0.78,0.82,0.46,Strong pathway target not reprogramming core,MTOR aging rejuvenation rapamycin
g060,RICTOR,,mtorc2,MTORC2 component and metabolism signaling,metabolic_tissue;muscle,0.38,0.66,0.32,0.20,0.42,0.30,0.36,0.32,0.30,Pathway context,RICTOR aging mTOR
g061,RPTOR,,mtorc1,MTORC1 scaffold and nutrient sensing,all_tissues;immune;muscle,0.44,0.68,0.32,0.20,0.46,0.32,0.46,0.38,0.36,Pathway context,RPTOR aging mTOR
g062,PRKAA1,AMPK,energy_sensing,AMPK catalytic subunit and energy stress response,metabolic_tissue;muscle;immune,0.54,0.78,0.20,0.14,0.62,0.42,0.60,0.66,0.48,Good metabolic support axis,PRKAA1 AMPK aging rejuvenation
g063,ULK1,,autophagy,Autophagy initiation kinase,all_tissues;neuron;muscle,0.50,0.76,0.20,0.14,0.54,0.36,0.50,0.48,0.42,Proteostasis support,ULK1 aging autophagy
g064,ATG5,,autophagy,Core autophagy machinery,all_tissues;immune;neuron,0.46,0.78,0.20,0.14,0.36,0.30,0.50,0.18,0.38,Essential pathway caution,ATG5 aging autophagy
g065,ATG7,,autophagy,Core autophagy conjugation factor,all_tissues;immune;neuron,0.46,0.78,0.20,0.14,0.36,0.30,0.50,0.18,0.38,Essential pathway caution,ATG7 aging autophagy
g066,BECN1,,autophagy,Autophagy and lysosome initiation factor,all_tissues;neuron,0.46,0.76,0.22,0.14,0.38,0.30,0.48,0.20,0.38,Proteostasis support,BECN1 aging autophagy
g067,TFEB,,lysosome,Master regulator of lysosome and autophagy programs,neuron;muscle;immune,0.58,0.78,0.24,0.16,0.50,0.42,0.54,0.36,0.50,Good proteostasis support,TFEB aging lysosome rejuvenation
g068,FOXO1,,stress_response,Stress resistance and metabolic transcription factor,immune;metabolic_tissue,0.48,0.80,0.20,0.12,0.54,0.38,0.48,0.44,0.42,Safety support axis,FOXO1 aging stress response
g069,FOXO3,,stress_response,Longevity associated stress resistance transcription factor,immune;metabolic_tissue;stress_response,0.54,0.84,0.18,0.12,0.62,0.48,0.50,0.52,0.52,Low risk longevity axis,FOXO3 aging longevity reprogramming
g070,FOXO4,,stress_response,Stress response factor linked to senescence signaling,senescent_cells;fibroblast,0.44,0.72,0.24,0.14,0.46,0.34,0.44,0.36,0.36,Senescence context,FOXO4 aging senescence
g071,NFE2L2,NRF2,stress_response,Oxidative stress response regulator,all_tissues;immune;brain,0.50,0.78,0.34,0.14,0.60,0.38,0.58,0.62,0.44,Chronic activation cancer caution,NFE2L2 NRF2 aging oxidative stress
g072,KEAP1,,stress_response,NRF2 negative regulator and redox sensor,all_tissues;immune,0.34,0.72,0.34,0.12,0.50,0.32,0.46,0.56,0.30,Use as pathway control,KEAP1 NRF2 aging safety
g073,HSP90AA1,HSP90,proteostasis,Chaperone network and proteome stability,all_tissues;proliferative_cells,0.38,0.64,0.42,0.18,0.58,0.28,0.48,0.78,0.32,Broad stress pathway,HSP90AA1 aging proteostasis
g074,HSPA1A,HSP70,proteostasis,Heat shock chaperone and stress protection,all_tissues;neuron,0.44,0.74,0.24,0.14,0.46,0.30,0.42,0.34,0.36,Stress support,HSPA1A aging proteostasis
g075,PPARGC1A,PGC1A,mitochondrial_biogenesis,Mitochondrial biogenesis coactivator,muscle;brain;metabolic_tissue,0.60,0.78,0.24,0.14,0.52,0.48,0.58,0.38,0.54,Strong function support axis,PPARGC1A PGC1A aging mitochondria rejuvenation
g076,NRF1,,mitochondrial_biogenesis,Mitochondrial transcriptional program regulator,mitochondria;muscle;brain,0.48,0.76,0.22,0.14,0.36,0.36,0.42,0.24,0.38,Mitochondrial support,NRF1 aging mitochondria
g077,TFAM,,mitochondrial_biogenesis,Mitochondrial DNA maintenance and transcription,mitochondria;muscle;brain,0.50,0.76,0.22,0.14,0.34,0.36,0.44,0.20,0.40,Mitochondrial support,TFAM aging mitochondria
g078,MFN1,,mitochondrial_dynamics,Mitochondrial fusion regulator,muscle;brain;metabolic_tissue,0.44,0.74,0.20,0.12,0.34,0.32,0.38,0.18,0.34,Mito dynamics support,MFN1 aging mitochondria
g079,MFN2,,mitochondrial_dynamics,Mitochondrial fusion and ER contact regulator,muscle;brain;metabolic_tissue,0.46,0.74,0.20,0.12,0.34,0.34,0.42,0.18,0.36,Mito dynamics support,MFN2 aging mitochondria
g080,OPA1,,mitochondrial_dynamics,Inner mitochondrial membrane fusion regulator,muscle;brain,0.44,0.74,0.20,0.12,0.30,0.32,0.38,0.16,0.34,Mito dynamics support,OPA1 aging mitochondria
g081,PINK1,,mitophagy,Mitophagy kinase and mitochondrial quality control,neuron;muscle;brain,0.48,0.76,0.20,0.12,0.38,0.34,0.46,0.22,0.38,Mitophagy support,PINK1 aging mitophagy neuron
g082,PRKN,PARKIN,mitophagy,E3 ligase for mitophagy and mitochondrial quality,neuron;muscle;brain,0.48,0.76,0.20,0.12,0.38,0.34,0.46,0.20,0.38,Mitophagy support,PRKN PARKIN aging mitophagy
g083,BNIP3,,mitophagy,Hypoxia linked mitophagy receptor,muscle;metabolic_tissue,0.38,0.66,0.28,0.14,0.34,0.28,0.34,0.18,0.28,Context dependent,BNIP3 aging mitophagy
g084,NAMPT,,nad_metabolism,NAD salvage rate limiting enzyme,metabolic_tissue;immune;brain,0.52,0.74,0.26,0.14,0.62,0.42,0.56,0.58,0.46,NAD support axis,NAMPT aging NAD rejuvenation
g085,NMNAT1,,nad_metabolism,NAD synthesis and nuclear NAD maintenance,all_tissues;brain,0.42,0.72,0.20,0.12,0.36,0.30,0.38,0.22,0.32,NAD support,NMNAT1 aging NAD
g086,CD38,,nad_metabolism,NAD consuming enzyme linked to inflammation and aging,immune;metabolic_tissue,0.46,0.72,0.24,0.12,0.62,0.38,0.50,0.62,0.38,Drug target for NAD preservation,CD38 aging NAD inflammation
g087,CDKN2A,P16,senescence_marker,Cell cycle arrest and senescence marker,senescent_cells;all_tissues,0.30,0.82,0.18,0.12,0.34,0.30,0.72,0.20,0.34,Safety readout and senescence marker,CDKN2A p16 aging senescence
g088,CDKN1A,P21,senescence_marker,Cell cycle arrest DNA damage and senescence marker,senescent_cells;all_tissues,0.30,0.82,0.18,0.12,0.34,0.30,0.70,0.20,0.34,Safety readout,CDKN1A p21 aging senescence
g089,RB1,,cell_cycle,Cell cycle gatekeeper and tumor suppressor,proliferative_cells;senescent_cells,0.28,0.82,0.16,0.12,0.28,0.26,0.60,0.18,0.28,Safety gatekeeper,RB1 aging senescence cell cycle
g090,IL6,,inflammation,SASP cytokine and inflammatory aging mediator,immune;senescent_cells,0.24,0.70,0.24,0.10,0.62,0.34,0.62,0.70,0.24,Risk and inflammation readout,IL6 aging SASP inflammation
g091,IL1B,,inflammation,Inflammasome cytokine and SASP mediator,immune;senescent_cells,0.24,0.70,0.24,0.10,0.62,0.34,0.58,0.70,0.24,Risk and inflammation readout,IL1B aging SASP inflammation
g092,NFKB1,,inflammation,NF kappa B pathway and chronic inflammation,immune;senescent_cells;all_tissues,0.30,0.70,0.30,0.12,0.58,0.34,0.62,0.66,0.28,Inflammation control,NFKB1 aging inflammation
g093,RELA,P65,inflammation,NF kappa B transcriptional subunit,immune;senescent_cells;all_tissues,0.30,0.70,0.32,0.12,0.56,0.34,0.60,0.62,0.28,Inflammation control,RELA p65 aging inflammation
g094,STAT3,,inflammation_regeneration,Cytokine signaling and regeneration axis,immune;regeneration;proliferative_cells,0.42,0.58,0.58,0.30,0.56,0.34,0.54,0.62,0.36,Cancer and inflammation caution,STAT3 aging regeneration inflammation
g095,TGFB1,,fibrosis_sasp,Fibrosis and senescence associated signaling,fibroblast;muscle;immune,0.26,0.70,0.32,0.14,0.58,0.36,0.60,0.66,0.28,Anti fibrotic target not rejuvenation driver,TGFB1 aging fibrosis senescence
g096,SERPINE1,PAI1,senescence_sasp,SASP and tissue aging marker,senescent_cells;fibroblast;vascular,0.28,0.70,0.24,0.12,0.56,0.34,0.58,0.60,0.26,SASP marker and target,SERPINE1 PAI1 aging senescence
g097,YAP1,,regeneration_pathway,Hippo pathway effector and tissue growth regulator,regeneration;epithelial;muscle,0.58,0.48,0.70,0.42,0.50,0.40,0.52,0.44,0.52,Regeneration with cancer risk,YAP1 aging regeneration cancer
g098,WWTR1,TAZ,regeneration_pathway,Hippo pathway effector and tissue regeneration regulator,regeneration;epithelial;muscle,0.54,0.50,0.64,0.38,0.48,0.38,0.46,0.42,0.48,Regeneration with cancer risk,WWTR1 TAZ aging regeneration cancer
g099,NOTCH1,,stem_cell_signaling,Cell fate and stem cell niche signaling,stem_cell;immune;muscle,0.46,0.56,0.54,0.44,0.46,0.38,0.54,0.44,0.42,Fate context dependent,NOTCH1 aging stem cell regeneration
g100,WNT3A,,stem_cell_signaling,Wnt ligand and stem cell niche activation,stem_cell;regeneration;intestinal,0.50,0.50,0.66,0.46,0.42,0.36,0.50,0.28,0.46,Regeneration with tumor caution,WNT3A aging regeneration cancer
